    nm         	nN
3.563403e+002	2.263742e-002
3.563806e+002	4.365789e-002
3.559395e+002	2.910526e-002
3.555422e+002	1.778655e-002
3.556044e+002	4.042397e-002
3.553165e+002	3.719006e-002
3.549411e+002	2.748830e-002
3.549376e+002	4.527485e-002
3.545403e+002	3.395614e-002
3.543180e+002	3.557310e-002
3.540739e+002	3.557310e-002
3.536766e+002	2.425438e-002
3.536075e+002	3.719006e-002
3.530789e+002	1.616959e-002
3.528348e+002	1.616959e-002
3.526344e+002	1.940351e-002
3.525872e+002	3.395614e-002
3.522118e+002	2.425438e-002
3.519020e+002	1.940351e-002
3.516578e+002	1.940351e-002
3.511512e+002	0.000000e+000
3.509289e+002	1.616959e-003
3.507504e+002	6.467836e-003
3.504844e+002	4.850877e-003
3.503715e+002	1.455263e-002
3.501492e+002	1.616959e-002
3.499707e+002	2.102047e-002
3.494640e+002	1.616959e-003
3.492199e+002	1.616959e-003
3.490414e+002	6.467836e-003
3.487097e+002	0.000000e+000
3.485531e+002	6.467836e-003
3.482871e+002	4.850877e-003
3.480429e+002	4.850877e-003
3.478207e+002	6.467836e-003
3.475765e+002	6.467836e-003
3.474418e+002	1.455263e-002
3.472852e+002	2.102047e-002
3.467566e+002	0.000000e+000
3.466000e+002	6.467836e-003
3.462245e+002	-3.233918e-003
3.460242e+002	0.000000e+000
3.457800e+002	0.000000e+000
3.455359e+002	0.000000e+000
3.452480e+002	-3.233918e-003
3.450257e+002	-1.616959e-003
3.448035e+002	0.000000e+000
3.442968e+002	-1.940351e-002
3.442495e+002	-4.850877e-003
3.441148e+002	3.233918e-003
3.437831e+002	-3.233918e-003
3.435171e+002	-4.850877e-003
3.434261e+002	6.467836e-003
3.431163e+002	1.616959e-003
3.428065e+002	-3.233918e-003
3.424968e+002	-8.084795e-003
3.423183e+002	-3.233918e-003
3.419866e+002	-9.701754e-003
3.418081e+002	-4.850877e-003
3.416077e+002	-1.616959e-003
3.413636e+002	-1.616959e-003
3.412507e+002	8.084795e-003
3.408097e+002	-6.467836e-003
3.402811e+002	-2.748830e-002
3.401463e+002	-1.940351e-002
3.401866e+002	1.616959e-003
3.396799e+002	-1.778655e-002
3.392389e+002	-3.233918e-002
3.390822e+002	-2.587134e-002
3.390569e+002	-9.701754e-003
3.388784e+002	-4.850877e-003
3.386999e+002	0.000000e+000
3.383245e+002	-9.701754e-003
3.380147e+002	-1.455263e-002
3.377706e+002	-1.455263e-002
3.375264e+002	-1.455263e-002
3.374354e+002	-3.233918e-003
3.369287e+002	-2.263742e-002
3.366627e+002	-2.425438e-002
3.363967e+002	-2.587134e-002
3.364807e+002	-1.616959e-003
3.359522e+002	-2.263742e-002
3.355767e+002	-3.233918e-002
3.356170e+002	-1.131871e-002
3.351541e+002	-2.748830e-002
3.347349e+002	-4.042397e-002
3.347315e+002	-2.263742e-002
3.343123e+002	-3.557310e-002
3.341338e+002	-3.072222e-002
3.341303e+002	-1.293567e-002
3.336017e+002	-3.395614e-002
3.335983e+002	-1.616959e-002
3.332885e+002	-2.102047e-002
3.329787e+002	-2.587134e-002
3.325376e+002	-4.042397e-002
3.322279e+002	-4.527485e-002
3.320712e+002	-3.880702e-002
3.320240e+002	-2.425438e-002
3.316923e+002	-3.072222e-002
3.314482e+002	-3.072222e-002
3.314666e+002	-1.131871e-002
3.308286e+002	-4.042397e-002
3.304532e+002	-5.012573e-002
3.303622e+002	-3.880702e-002
3.300524e+002	-4.365789e-002
3.297208e+002	-5.012573e-002
3.299799e+002	-1.293567e-002
3.297576e+002	-1.131871e-002
3.291634e+002	-3.719006e-002
3.290724e+002	-2.587134e-002
3.286314e+002	-4.042397e-002
3.284310e+002	-3.719006e-002
3.281650e+002	-3.880702e-002
3.279864e+002	-3.395614e-002
3.277861e+002	-3.072222e-002
3.273888e+002	-4.204093e-002
3.271665e+002	-4.042397e-002
3.269442e+002	-3.880702e-002
3.265032e+002	-5.335965e-002
3.262372e+002	-5.497661e-002
3.262774e+002	-3.395614e-002
3.260552e+002	-3.233918e-002
3.256141e+002	-4.689181e-002
3.252606e+002	-5.497661e-002
3.250383e+002	-5.335965e-002
3.249692e+002	-4.042397e-002
3.244844e+002	-5.821052e-002
3.241309e+002	-6.629532e-002
3.240180e+002	-5.659356e-002
3.236645e+002	-6.467836e-002
3.233766e+002	-6.791228e-002
3.230449e+002	-7.438011e-002
3.229977e+002	-5.982748e-002
3.229286e+002	-4.689181e-002
3.227063e+002	-4.527485e-002
3.224184e+002	-4.850877e-002
3.221524e+002	-5.012573e-002
3.217770e+002	-5.982748e-002
3.215328e+002	-5.982748e-002
3.211136e+002	-7.276316e-002
3.210883e+002	-5.659356e-002
3.205597e+002	-7.761403e-002
3.206875e+002	-5.012573e-002
3.204215e+002	-5.174269e-002
3.200461e+002	-6.144444e-002
3.196050e+002	-7.599707e-002
3.196453e+002	-5.497661e-002
3.194449e+002	-5.174269e-002
3.191133e+002	-5.821052e-002
3.188035e+002	-6.306140e-002
3.184937e+002	-6.791228e-002
3.180964e+002	-7.923099e-002
3.182242e+002	-5.174269e-002
3.178926e+002	-5.821052e-002
3.175609e+002	-6.467836e-002
3.172511e+002	-6.952924e-002
3.171382e+002	-5.982748e-002
3.169160e+002	-5.821052e-002
3.163437e+002	-8.246491e-002
3.163840e+002	-6.144444e-002
3.161398e+002	-6.144444e-002
3.158738e+002	-6.306140e-002
3.153452e+002	-8.408187e-002
3.154730e+002	-5.659356e-002
3.151632e+002	-6.144444e-002
3.145909e+002	-8.569882e-002
3.142374e+002	-9.378362e-002
3.142120e+002	-7.761403e-002
3.139460e+002	-7.923099e-002
3.138550e+002	-6.791228e-002
3.133702e+002	-8.569882e-002
3.131480e+002	-8.408187e-002
3.130569e+002	-7.276316e-002
3.128347e+002	-7.114619e-002
3.124811e+002	-7.923099e-002
3.124120e+002	-6.629532e-002
3.121241e+002	-6.952924e-002
3.116393e+002	-8.731579e-002
3.114390e+002	-8.408187e-002
3.114573e+002	-6.467836e-002
3.109725e+002	-8.246491e-002
3.109253e+002	-6.791228e-002
3.107249e+002	-6.467836e-002
3.102839e+002	-7.923099e-002
3.103241e+002	-5.821052e-002
3.098175e+002	-7.761403e-002
3.096171e+002	-7.438011e-002
3.094167e+002	-7.114619e-002
3.089319e+002	-8.893274e-002
3.090815e+002	-5.982748e-002
3.086405e+002	-7.438011e-002
3.083088e+002	-8.084795e-002
3.080428e+002	-8.246491e-002
3.077768e+002	-8.408187e-002
3.074889e+002	-8.731579e-002
3.074636e+002	-7.114619e-002
3.070444e+002	-8.408187e-002
3.068659e+002	-7.923099e-002
3.067311e+002	-7.114619e-002
3.060713e+002	-1.018684e-001
3.060459e+002	-8.569882e-002
3.057361e+002	-9.054970e-002
3.054045e+002	-9.701754e-002
3.051385e+002	-9.863450e-002
3.050475e+002	-8.731579e-002
